Product_Code,Warehouse,Product_Category,Date,Order_Demand
Product_1372,Whse_J,Category_019,2012/1/6,600 
Product_1372,Whse_J,Category_019,2012/1/11,300 
Product_1372,Whse_J,Category_019,2012/1/19,1600 
Product_1372,Whse_J,Category_019,2012/1/24,900 
Product_1372,Whse_J,Category_019,2012/1/27,1300 
Product_1372,Whse_J,Category_019,2012/1/31,1600 
Product_1372,Whse_J,Category_019,2012/2/3,200 
Product_1372,Whse_J,Category_019,2012/2/7,1000 
Product_1372,Whse_J,Category_019,2012/2/17,1800 
Product_1372,Whse_J,Category_019,2012/3/2,1400 
Product_1372,Whse_J,Category_019,2012/3/5,100 
Product_1372,Whse_J,Category_019,2012/3/13,1400 
Product_1372,Whse_J,Category_019,2012/3/22,1200 
Product_1372,Whse_J,Category_019,2012/3/21,300 
Product_1372,Whse_J,Category_019,2012/3/22,400 
Product_1372,Whse_J,Category_019,2012/3/30,900 
Product_1372,Whse_J,Category_019,2012/4/3,300 
Product_1372,Whse_J,Category_019,2012/4/4,600 
Product_1372,Whse_J,Category_019,2012/4/4,800 
Product_1372,Whse_J,Category_019,2012/4/11,2700 
Product_1372,Whse_J,Category_019,2012/4/16,300 
Product_1372,Whse_J,Category_019,2012/4/20,300 
Product_1372,Whse_J,Category_019,2012/4/16,900 
Product_1372,Whse_J,Category_019,2012/4/17,200 
Product_1372,Whse_J,Category_019,2012/5/8,900 
Product_1372,Whse_J,Category_019,2012/5/7,500 
Product_1372,Whse_J,Category_019,2012/5/10,1300 
Product_1372,Whse_J,Category_019,2012/5/15,500 
Product_1372,Whse_J,Category_019,2012/5/21,100 
Product_1372,Whse_J,Category_019,2012/5/21,900 
Product_1372,Whse_J,Category_019,2012/5/24,1200 
Product_1372,Whse_J,Category_019,2012/5/28,1500 
Product_1372,Whse_J,Category_019,2012/5/29,600 
Product_1372,Whse_J,Category_019,2012/6/1,300 
Product_1372,Whse_J,Category_019,2012/5/31,400 
Product_1372,Whse_J,Category_019,2012/6/11,1600 
Product_1372,Whse_J,Category_019,2012/6/14,1300 
Product_1372,Whse_J,Category_019,2012/6/18,1900 
Product_1372,Whse_J,Category_019,2012/6/19,600 
Product_1372,Whse_J,Category_019,2012/6/26,100 
Product_1372,Whse_J,Category_019,2012/6/28,600 
Product_1372,Whse_J,Category_019,2012/7/9,500 
Product_1372,Whse_J,Category_019,2012/7/12,100 
Product_1372,Whse_J,Category_019,2012/7/17,600 
